src	mt	src_ctx	tgt_ctx	src_ante	tgt_ante
And there it was. 	 Et il 	 Thank you. Your acne really cleared up. It actually migrated to my butt, but thank you. Oh, I actually saw the inside of your apartment in Architectural Digest. They always have it in my psychic's waiting room. 	 Merci. Ton acné est bien parti. En fait, il a migré vers mes fesses. Mais merci. Oh, j'ai vu des photos de votre  appartement  Dans Architectural Digest. Il l'avait toujours Dans la salle d'attente de mon psy 	 None 	 appartement 
No, but it had some of the same properties. 	 Non, mais il 	 Do you need a tissue? It's the serum. She means I'm dying. I only wish it had the same effect on Liam. I don't know why he's not dying, too. Did Julianna use the same serum on him? 	 Voulez-vous un mouchoir ? C'est le sérum. Elle veut dire que je suis en train de mourir. Je souhaite seulement que ça ait le même effet sur Liam. Je ne sais pas pourquoi il ne meurt pas lui aussi. Est-ce que Julianna a utilisé le même  sérum  sur lui ? 	 None 	 sérum 
I think it may have gotten clogged while I was making my world famous pierogies. 	 Je pense qu'il 	 - Ah! - That's him. Hurry, hurry, hurry! Come in. Hello, girls. Which sink is clogged? 	 - C'est lui. Grouille, grouille ! Entrez. Bonjour les filles. Quel  évier  est bouché ? 	 None 	 évier 
Don't move when it turns green. 	 N'avancez pas quand il 	 Right, I see it. I'm behind it. This is what I need you to do, Kalinda. You see the light up ahead? Stop at it. 	 Je la vois. Je suis derrière eux. Faites ce que je dis, Kalinda. Vous voyez le  feu  devant ? Arrêtez-vous là. 	 None 	 feu 
Yeah, it falls apart. 	 Il 	 Okay. We raise. What do you think, Burk? Do I have the goods? And what am I looking at here? This is the vaccine compound before nebulization, and here it is after it's been sprayed into the air. 	 Nous montons. Qu'en penses-tu, Burk ? Est-ce que j'ai ce qu'il faut ? Et qu'est-ce que je vois ici ? C'est le  composé  du vaccin avant sa vaporisation, et ici après vaporisation dans l'air. 	 None 	 composé 
I'm not sure how, but it came back. 	 Je ne sais pas comment, mais il 	 And I don't want to hurt anyone. Something's changed. And I think it's because of me. And I don't know how to fix it. My asthma is back. 	 Et je ne veux blesser personne. Quelque chose a changé. Et c'est de ma faute. Et je ne sais pas comment l'arranger. Mon  asthme  est revenu. 	 None 	 asthme 
If it continues, it will destroy the planet and if you go back, it will create unemployment and recession. 	 S'il 	 We will continue to protect and share. Do you think it is better to repair the system or change it? We can not sustain unlimited economic growth on a finite planet. Infinite growth is not sustainable in a finite world. So this system can not continue indefinitely. 	 Nous continuerons de les protéger et de les partager. Pensez-vous qu'il vaut mieux réparer le système ou le changer ? On ne peut pas maintenir une croissance économique illimitée sur une planète limitée. Une croissance infinie n'est pas soutenable dans un monde fini. Donc, ce  système  ne peut pas se perpétuer indéfiniment. 	 None 	 système 
Is it missing? 	 Il 	 Get away from me! Get away! No! - Please tell me you have the camera. - What's wrong? 	 Laisse-moi tranquille ! Laisse-moi ! Non ! - Dis-moi que tu as l' appareil . - Quoi ? 	 None 	 appareil 
Somehow it got back in here, along with your company. 	 D'une certaine façon il 	 If it isn't my old buddy Malick. From outside the dome. Tell me about the egg. Egg? Oh, you, oh, you mean the egg that I gave you after you promised my family would get out? 	 Mais c'est mon vieux pote Malick. De l'extérieur du dôme. Parle moi de l'œuf. L'œuf ? Oh, tu parles de l' œuf  que je t'ai donné après m'avoir promis que ma famille sortirait. 	 None 	 œuf 
You know, I scratched it up till it couldn't play anymore. 	 Je l'ai écouté jusqu'à ce qu'il 	 How excited am I? I'm crazy excited. Are you kidding me? Skye, I don't want to embarrass you too much, but... y'all, I'm sorry. I am the "Oh, gee, Skye Summers" fan. And-and her first CD was the very first CD I ever bought. 	 À quel point je suis excité ? Je suis comme un fou, quelle question. Skye, je ne veux pas te mettre mal à l'aise, mais... excusez-moi. Je suis fan genre "oh, wow, Skye Summers". Et son premier album était le premier  CD  que j'ai acheté. 	 None 	 CD 
According to their records, it's still sitting in the garage. 	 - Selon leurs registres, il 	 Abby examined the I.D. If it's a forgery, it's a really good one. And no hits on his prints. Vehicle's legit-- it's registered to the Department of Defense's motor pool. Who checked it out? 	 - Abby a examiné la carte d'identité. Si c'est une fausse, elle est très bien faite. Et rien sur ses empreintes. - Le  véhicule  est réglo il est enregistré au parc automobile du département de la Défense. - Qui l'a emprunté ? 	 None 	 véhicule 
It was lying right there and it buzzed, and I couldn't help it. 	 Il était posé là, il 	 Walked out covered in mozzie bites, saying he'd just been in a hotel. The man, identified as David Burton... I made you a grilled cheese. Jill texted you. You went through my phone? 	 Il était couvert de piqûres et disait venir d'un hôtel. L'homme, identifié comme étant David Burton... Je t'ai fait un sandwich. Jill t'a texté. T'as pris mon  portable  ? 	 None 	 portable 
But they're saying it attacks the central nervous system. 	 Mais il 	 There's Defense, Homeland, CIA, the Bureau on this list. It's gonna be hard to narrow it down. Yeah, so much for the good old days where you could just look for the glint of a sniper-rifle scope in a nearby window. What does it do, this virus, to the body? The CDC's still breaking it down. 	 Il y a la Défense, la Sécurité, la CIA, le FBI sur cette liste. Cela va être difficile de la réduire. Autant pour les bons vieux jours quand vous pouviez juste voir le reflet de la lunette de visée d'un sniper dans une fenêtre voisine. Qu'est-ce qu'il fait, ce  virus , au corps ? Le CDC est toujours en train de l'analyser 	 None 	 virus 
Sometimes it breaks, sometimes it doesn't. 	 Parfois il 	 I don't understand. Why... why... why wouldn't he answer his phone? I don't understand why my little girl... I don't... You drop an egg. 	 Je ne comprends pas. Pourquoi... pourquoi il n'a pas répondu au téléphone ? Je ne comprends pas pourquoi ma petite fille... Non... Vous faites tomber un  œuf . 	 None 	 œuf 
Cause it had a hard drive. 	 Parce qu'il 	 Fun! Every great Ed Talk has this moment that is so mind-blowing, the entire audience gasps. I don't only have that, but I have a killer opening joke. Check it. Why was the computer stressed out when it got home from work? 	 Cool ! Chaque grand Ed Talk a un moment qui est si époustouflant, le public entier halète. Je n'ai pas que ça, mais également une blague d'ouverture génial. Regarde ça. Pourquoi l' ordinateur  est stressé quand il rentre du boulot ? 	 None 	 ordinateur 
Cause it had a hard drive. 	 Car il 	 But just for a brief mo. So, as our lives become easier, the computers doing our jobs will be the ones who'll need therapy. And thanks to my algorithm, they'll be able to get it. Reminds me of a joke. Why was the computer stressed out when it got home from work? 	 Mais juste pour n bref moment. Donc, comme nos vies deviennent plus facile, les ordinateurs faisant notre boulot, c'est eux qui ont besoin de thérapie. Et grâce à mon algorithme, ils pourront y accéder. Ça me rappelle une blague. Pourquoi l' ordinateur  est stressé quand il rentre du boulot ? 	 None 	 ordinateur 
I remember thinking how cold it was. 	 Je me souviens avoir pensé combien il 	 "Her"? A body. First body I ever saw. Her throat had been slit, and those same symbols were carved into her forehead and her cheeks. I touched her arm. 	 "Elle" ? Un corps. Le premier corps que j'ai jamais vu. Sa gorge avait été tranchée, et il y avait les mêmes symboles gravés sur son front et ses joues. J'ai touché son  bras . 	 None 	 bras 
It recalls the layout of the room, the placement of the furniture and... and objects, and it automatically maneuvers around them the next time it starts its cycle. Yeah. Yeah. 	 Il mémorise l'agencement de la pièce, la disposition des meubles et... et des objets, et il 	 You can set the timer to vacuum on a schedule. Is this a subtle hint? You want me to get you one of these for your birthday? Yes, please. No. Actually, my point is this new model, it has memory. 	 Tu peux le programmer pour que l'aspirateur se mette en marche. C'est une allusion? Tu veux que je t'offre un de ces trucs pour ton anniversaire? Oui, s'il vous plaît. Non, le fait est que ce nouveau  modèle  possède une mémoire. 	 None 	 modèle 
And I, I, I, I know that... .. it takes more than six weeks for it to show up on the test and... it wasn't that long ago but they must have... 	 Je sais que... ça prend six semaines pour qu'il 	 When they took... my blood at the police station, they must have injected me at the same time. The... The virus can't... can't survive outside the body. They must have, um... They must have kept it heated? 	 Quand ils m'ont fait la prise de sang au poste de police, ils ont dû me l'injecter en même temps. Le  virus  ne peut pas... survivre en dehors du corps. Ils ont dû... Le garder au chaud ? 	 None 	 virus 
That's why it works. 	 C'est comme ça qu'il 	 Come with me. 40 years ago, I created a formula that altered atomic relative distance. Huh? I learned how to change the distance between atoms. That's what powers the suit. 	 Viens avec moi. Il y a quarante ans, j'ai mis au point une formule permettant de modifier la distance atomique relative. Hein ? J'ai trouvé comment réduire la distance séparant les atomes. C'est le principe de ce  costume . 	 None 	 costume 
Oh, uh, well, she said it moved, uh, up... up to here. 	 Elle a dit qu'il 	 You know, they wouldn't let me have breakfast for some reason. Andy, I'll serve. I'm sure you'd like a bit of everything. Bring it on. So, where's this clot? 	 Ils ne voulaient pas me laisser déjeuner pour une quelconque raison. Andy, je vais faire le service. Je suis sûr que vous voulez d'un peu de tout. Allons-y. Alors, où est le  caillot  ? 	 None 	 caillot 
No, it didn't, but it should've. 	 Non, mais il 	 ♪ The greenback boogie ♪ Don't tell me he wasn't in here either. He was in here, all right. What happened? Did the settlement fall through? 	 ♪ The greenback boogie ♪ Ne me dis pas qu'il n'était pas ici non plus. Il était là, d'accord. Qu'est-il arrivé ? L' accord  est tombé à l'eau ? 	 None 	 accord 
I swear it ran as soon as yesterday. 	 Je jure qu'il 	 Sure thing. Nothing worse than a blabber mouth that won't shut up. It's kinda like back in the before. I had this brother in law Does this thing actually run? 	 Bien sûr. Rien de pire qu'une pipelette qui ne veut pas la fermer. C'est un peu comme avant. J'avais ce beau-frère... Est-ce que ce  truc  marche ? 	 None 	 truc 
